search_role,title,company,location,salary_min,salary_max,description,category,posted_date,url,description_clean,skills_found,skill_count,skills_found_str
data analyst,Data Analyst,Ubisoft,"Pune, Maharashtra",,,"Job Description Impact - Enable data-driven decisions for leaders for LiveOps events, feature launches, and content updates through dashboards by defining datasets. Track KPIs including and not limited upto - Daily Active Users (DAU), Retention Rate, Churn Rate, ARPU (Average Revenue Per User), and session metrics. Make daily / weekly/monthly reports on player behavior, performance accuracy, engagement, and monetization / revenue trends to improve visibility. Proactively identify patterns, anom…",IT Jobs,2026-07-16T06:56:15Z,https://www.adzuna.in/details/5802046407?utm_medium=api&utm_source=3a1fdfd4,"job description impact - enable data-driven decisions for leaders for liveops events, feature launches, and content updates through dashboards by defining datasets. track kpis including and not limited upto - daily active users (dau), retention rate, churn rate, arpu (average revenue per user), and session metrics. make daily / weekly/monthly reports on player behavior, performance accuracy, engagement, and monetization / revenue trends to improve visibility. proactively identify patterns, anom…",[],0,
data analyst,Data Analyst,Sia,"Mumbai, Maharashtra",,,"Job Description We are hiring a Power BI Developer to support our global internal teams (Finance, HR, Strategy, Corporate Functions) by delivering high-impact business intelligence dashboards, datasets, and analytics solutions. This role is critical for strengthening our internal reporting systems and driving data-backed decision-making across the organization. Key Responsibilities Design, maintain, and enhance internal Power BI dashboards and analytics for Corporate Finance and other functions…",IT Jobs,2026-07-24T01:04:13Z,https://www.adzuna.in/details/5812614536?utm_medium=api&utm_source=3a1fdfd4,"job description we are hiring a power bi developer to support our global internal teams (finance, hr, strategy, corporate functions) by delivering high-impact business intelligence dashboards, datasets, and analytics solutions. this role is critical for strengthening our internal reporting systems and driving data-backed decision-making across the organization. key responsibilities design, maintain, and enhance internal power bi dashboards and analytics for corporate finance and other functions…",['power bi'],1,power bi
data analyst,Data Analyst,Digital Twin,"Pune, Maharashtra",,,"Job Summary - Data Analyst We are looking to hire a data analyst to join our enterprise customer solutions team. As a Data Analyst, one will take responsibility for developing reports, and troubleshooting data issues. To do well in this role you need attention to detail, past experience as a data analyst, and a deep understanding of the popular data analysis tools and databases. Data Analyst Responsibilities: ● Commissioning and decommissioning of data sets. ● Processing confidential data and i…",IT Jobs,2026-05-21T02:12:34Z,https://www.adzuna.in/details/5735463452?utm_medium=api&utm_source=3a1fdfd4,"job summary - data analyst we are looking to hire a data analyst to join our enterprise customer solutions team. as a data analyst, one will take responsibility for developing reports, and troubleshooting data issues. to do well in this role you need attention to detail, past experience as a data analyst, and a deep understanding of the popular data analysis tools and databases. data analyst responsibilities: ● commissioning and decommissioning of data sets. ● processing confidential data and i…",[],0,
data analyst,Data Analyst,SveltetechTechnologies Pvt Ltd,"Delhi, India",0.0,300000.0,"Data Analyst Job Duties Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. Responsibilities Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies tha…",IT Jobs,2021-02-15T04:27:43Z,https://www.adzuna.in/details/1993882092?utm_medium=api&utm_source=3a1fdfd4,"data analyst job duties data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. data analysts will develop analysis and reporting capabilities. they will also monitor performance and quality control plans to identify improvements. responsibilities interpret data, analyze results using statistical techniques and provide ongoing reports develop and implement databases, data collection systems, data analytics and other strategies tha…",[],0,
data analyst,Data Analyst,Qrata,"Delhi, India",1000000.0,1200000.0,"Job Title: Data Analyst Job Brief: The successful candidate will turn data into information, information into insight and insight into business decisions. Data Analyst Job Duties Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans to identify improvements. About Us We began in 2015 with an entrepreneuria…",IT Jobs,2024-01-07T15:08:07Z,https://www.adzuna.in/details/4514376622?utm_medium=api&utm_source=3a1fdfd4,"job title: data analyst job brief: the successful candidate will turn data into information, information into insight and insight into business decisions. data analyst job duties data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. data analysts will develop analysis and reporting capabilities. they will also monitor performance and quality control plans to identify improvements. about us we began in 2015 with an entrepreneuria…",[],0,
data analyst,Data Analyst,Amicus Therapeutics,"Bangalore, Karnataka",,,"Position Description Data Analyst Location: Remote/Bangalore Amicus Therapeutics is a global, patient-dedicated biotechnology company focused on discovering, developing and delivering high-quality medicines for people living with rare metabolic diseases. Position Summary Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and qua…",IT Jobs,2025-04-16T01:41:37Z,https://www.adzuna.in/details/5146507084?utm_medium=api&utm_source=3a1fdfd4,"position description data analyst location: remote/bangalore amicus therapeutics is a global, patient-dedicated biotechnology company focused on discovering, developing and delivering high-quality medicines for people living with rare metabolic diseases. position summary data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. data analysts will develop analysis and reporting capabilities. they will also monitor performance and qua…",[],0,
data analyst,Data Analyst,Amicus India,"Bangalore, Karnataka",,,"Data Analyst Location: Remote/Bangalore Amicus Therapeutics is a global, patient-dedicated biotechnology company focused on discovering, developing, and delivering high-quality medicines for people living with rare metabolic diseases. Position Summary Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Data analysts will develop analysis and reporting capabilities. They will also monitor performance and quality control plans t…",IT Jobs,2026-05-30T02:27:15Z,https://www.adzuna.in/details/5744868780?utm_medium=api&utm_source=3a1fdfd4,"data analyst location: remote/bangalore amicus therapeutics is a global, patient-dedicated biotechnology company focused on discovering, developing, and delivering high-quality medicines for people living with rare metabolic diseases. position summary data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. data analysts will develop analysis and reporting capabilities. they will also monitor performance and quality control plans t…",[],0,
data analyst,Data Analyst,Aliqan Services,"Chennai, Tamil Nadu",,,"Data Analyst (6 years) Insurance domain for 3-4 Years Proficiency in data querying, reporting, and visualization tools Role: Other Industry Type: Insurance Department: Other Employment Type: Full Time, Permanent Role Category: Other Education UG: B.Tech/B.E. in Any Specialization Skills: Data Visualization, data reporting, Data Analyst Experience: 6.00-10.00 Years",IT Jobs,2026-07-10T07:19:30Z,https://www.adzuna.in/details/5794938967?utm_medium=api&utm_source=3a1fdfd4,"data analyst (6 years) insurance domain for 3-4 years proficiency in data querying, reporting, and visualization tools role: other industry type: insurance department: other employment type: full time, permanent role category: other education ug: b.tech/b.e. in any specialization skills: data visualization, data reporting, data analyst experience: 6.00-10.00 years",['data visualization'],1,data visualization
data analyst,Data Analyst,Aliqan Services,"Gurgaon, Haryana",,,"Data Analyst (6 years) Insurance domain for 3-4 Years Proficiency in data querying, reporting, and visualization tools Role: Other Industry Type: Insurance Department: Other Employment Type: Full Time, Permanent Role Category: Other Education UG: B.Tech/B.E. in Any Specialization Skills: Data Visualization, data reporting, Data Analyst Experience: 6.00-10.00 Years",IT Jobs,2026-07-10T07:19:30Z,https://www.adzuna.in/details/5794938966?utm_medium=api&utm_source=3a1fdfd4,"data analyst (6 years) insurance domain for 3-4 years proficiency in data querying, reporting, and visualization tools role: other industry type: insurance department: other employment type: full time, permanent role category: other education ug: b.tech/b.e. in any specialization skills: data visualization, data reporting, data analyst experience: 6.00-10.00 years",['data visualization'],1,data visualization
data analyst,Data Analyst,Leading Client,"Hyderabad, Telangana",,,"Job Description Role Overview: We are looking for an experienced Data Business Analyst with strong exposure to Snowflake and Databricks who can work closely with business stakeholders and analytics teams.Job Title: Data Business Analyst Key Skills & Experience: 5 years of experience as a Business Analyst / Data Business Analyst Strong hands-on experience with Snowflake and Databricks Advanced SQL skills for data analysis and validation Experience with data pipelines, ETL processes , and data qu…",IT Jobs,2026-05-12T05:45:42Z,https://www.adzuna.in/details/5726293535?utm_medium=api&utm_source=3a1fdfd4,"job description role overview: we are looking for an experienced data business analyst with strong exposure to snowflake and databricks who can work closely with business stakeholders and analytics teams.job title: data business analyst key skills & experience: 5 years of experience as a business analyst / data business analyst strong hands-on experience with snowflake and databricks advanced sql skills for data analysis and validation experience with data pipelines, etl processes , and data qu…","['sql', 'etl']",2,"sql, etl"
data analyst,Data Analyst,InTouch CX,"Hyderabad, Telangana",,,"About the Job We are looking for a Data Analyst who is a self-starter with the ability to work in a fast-paced, performance driven environment. The incumbent will be responsible for the analysis and reporting of operational related data in an on-going effort to increase visibility for program performance. As Data Analyst, You Will… Collect, analyze, evaluate and report data in order to increase visibility into performance for all lines of business within 24-7 Intouch Complete projects and ad-ho…",IT Jobs,2026-01-16T00:31:50Z,https://www.adzuna.in/details/5586444744?utm_medium=api&utm_source=3a1fdfd4,"about the job we are looking for a data analyst who is a self-starter with the ability to work in a fast-paced, performance driven environment. the incumbent will be responsible for the analysis and reporting of operational related data in an on-going effort to increase visibility for program performance. as data analyst, you will… collect, analyze, evaluate and report data in order to increase visibility into performance for all lines of business within 24-7 intouch complete projects and ad-ho…",[],0,
data analyst,Data Analyst,Careernet,India,,,"Job Description Key Skills: Data Analyst, Data Analysis, Python, Product Owner, SQL Roles and Responsibilities: Analyze and interpret complex datasets related to marketing performance and customer engagement. Collaborate with Product Owners to understand business objectives and translate them into data-driven insights. Use Python and ANSI-SQL for data extraction, manipulation, and advanced analysis. Merge data from multiple source systems while ensuring data accuracy and consistency. Clean, tra…",IT Jobs,2026-04-05T03:36:04Z,https://www.adzuna.in/details/5690242267?utm_medium=api&utm_source=3a1fdfd4,"job description key skills: data analyst, data analysis, python, product owner, sql roles and responsibilities: analyze and interpret complex datasets related to marketing performance and customer engagement. collaborate with product owners to understand business objectives and translate them into data-driven insights. use python and ansi-sql for data extraction, manipulation, and advanced analysis. merge data from multiple source systems while ensuring data accuracy and consistency. clean, tra…","['python', 'sql']",2,"python, sql"
data analyst,Data analyst,RECEX,"Kolkata, West Bengal",,,"Job Description: Job Title: Data Analyst Job Description: We are looking for a skilled Data Analyst to collect, analyze, and interpret large datasets to help drive business decisions. The ideal candidate will have strong analytical skills, attention to detail, and experience with data visualization tools. Key Responsibilities: Analyze data to identify trends and insights. Create dashboards and reports for internal stakeholders. Collaborate with teams to understand data needs. Ensure data accura…",IT Jobs,2026-05-14T02:27:02Z,https://www.adzuna.in/details/5728436260?utm_medium=api&utm_source=3a1fdfd4,"job description: job title: data analyst job description: we are looking for a skilled data analyst to collect, analyze, and interpret large datasets to help drive business decisions. the ideal candidate will have strong analytical skills, attention to detail, and experience with data visualization tools. key responsibilities: analyze data to identify trends and insights. create dashboards and reports for internal stakeholders. collaborate with teams to understand data needs. ensure data accura…",['data visualization'],1,data visualization
data analyst,Data Analyst,Fatakpay,India,800000.0,1500000.0,"Job Title : Data Analyst-Fintech Job Description : We are seeking a highly motivated and detail-oriented Data Analyst with 2 to 4 years of work experience to join our team. The ideal candidate will have a strong analytical mindset, excellent problem-solving skills, and a passion for transforming data into actionable insights. In this role, you will play a pivotal role in gathering, analyzing, and interpreting data to support informed decision-making and drive business growth. Key Responsibiliti…",IT Jobs,2024-12-07T13:03:54Z,https://www.adzuna.in/details/4966721625?utm_medium=api&utm_source=3a1fdfd4,"job title : data analyst-fintech job description : we are seeking a highly motivated and detail-oriented data analyst with 2 to 4 years of work experience to join our team. the ideal candidate will have a strong analytical mindset, excellent problem-solving skills, and a passion for transforming data into actionable insights. in this role, you will play a pivotal role in gathering, analyzing, and interpreting data to support informed decision-making and drive business growth. key responsibiliti…",['excel'],1,excel
data analyst,Data analyst,Cars24,"Pune, Maharashtra",,,"Job Description: We are seeking a talented and motivated Data Analyst to join our team. The ideal candidate will have a passion for data, a strong analytical mindset, and the ability to derive insights that drive business decisions. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting large datasets to provide actionable insights to various stakeholders across the organization. Key Responsibilities: Data Collection and Cleaning: Collect and clean data from vari…",IT Jobs,2026-07-02T07:16:47Z,https://www.adzuna.in/details/5784727356?utm_medium=api&utm_source=3a1fdfd4,"job description: we are seeking a talented and motivated data analyst to join our team. the ideal candidate will have a passion for data, a strong analytical mindset, and the ability to derive insights that drive business decisions. as a data analyst, you will be responsible for collecting, analyzing, and interpreting large datasets to provide actionable insights to various stakeholders across the organization. key responsibilities: data collection and cleaning: collect and clean data from vari…",[],0,
data analyst,DATA ANALYST,Connect Pro Srl,"Ajmer, Rajasthan",,,"Posizione - Data Analyst Lavora con noi Data Analyst Id Richiesta: 1002 Sede: Milano Data Analyst È responsabile della raccolta, analisi e interpretazione dei dati aziendali per guidare decisioni strategiche e migliorare le performance. Ha il compito di trasformare dati complessi in insight utili per il business, collaborando con diversi dipartimenti per ottimizzare le attività aziendali. Responsabilità Principali Raccolta e analisi dei dati da diverse fonti aziendali. Creazione di report e das…",IT Jobs,2026-07-23T15:54:18Z,https://www.adzuna.in/details/5812180318?utm_medium=api&utm_source=3a1fdfd4,"posizione - data analyst lavora con noi data analyst id richiesta: 1002 sede: milano data analyst è responsabile della raccolta, analisi e interpretazione dei dati aziendali per guidare decisioni strategiche e migliorare le performance. ha il compito di trasformare dati complessi in insight utili per il business, collaborando con diversi dipartimenti per ottimizzare le attività aziendali. responsabilità principali raccolta e analisi dei dati da diverse fonti aziendali. creazione di report e das…",[],0,
data analyst,Data analyst,Cars24 Services Private Limited,"Pune, Maharashtra",,,"Job description Job Description: We are seeking a talented and motivated Data Analyst to join our team. The ideal candidate will have a passion for data, a strong analytical mindset, and the ability to derive insights that drive business decisions. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting large datasets to provide actionable insights to various stakeholders across the organization. Key Responsibilities: Data Collection and Cleaning: Collect and clea…",IT Jobs,2026-06-11T06:50:59Z,https://www.adzuna.in/details/5759283741?utm_medium=api&utm_source=3a1fdfd4,"job description job description: we are seeking a talented and motivated data analyst to join our team. the ideal candidate will have a passion for data, a strong analytical mindset, and the ability to derive insights that drive business decisions. as a data analyst, you will be responsible for collecting, analyzing, and interpreting large datasets to provide actionable insights to various stakeholders across the organization. key responsibilities: data collection and cleaning: collect and clea…",[],0,
data analyst,Data Analyst,RECEX,"Vasai, Thane",,,"Job Description: *]:pointer-events-auto R6Vx5W_threadScrollVars scroll-mb-[calc(var(scroll-root-safe-area-inset-bottom,0px)var(thread-response-height))] scroll-mt-[calc(var(header-height)min(200px,max(70px,20svh)))]"" data-scroll-anchor=""false"" data-testid=""conversation-turn-2"" data-turn=""assistant"" data-turn-id=""request-WEB:a09f2817-6254-4ccc-9fb6-39e39dbcb8e3-0"" data-turn-id-container=""request-WEB:a09f2817-6254-4ccc-9fb6-39e39dbcb8e3-0"" dir=""auto""> Job Description – Data Analyst Position: Data…",IT Jobs,2026-05-27T02:25:11Z,https://www.adzuna.in/details/5741536696?utm_medium=api&utm_source=3a1fdfd4,"job description: *]:pointer-events-auto r6vx5w_threadscrollvars scroll-mb-[calc(var(scroll-root-safe-area-inset-bottom,0px)var(thread-response-height))] scroll-mt-[calc(var(header-height)min(200px,max(70px,20svh)))]"" data-scroll-anchor=""false"" data-testid=""conversation-turn-2"" data-turn=""assistant"" data-turn-id=""request-web:a09f2817-6254-4ccc-9fb6-39e39dbcb8e3-0"" data-turn-id-container=""request-web:a09f2817-6254-4ccc-9fb6-39e39dbcb8e3-0"" dir=""auto""> job description – data analyst position: data…",[],0,
data analyst,Data Analyst,Malaysian Global Innovation and Creativity Centre,India,500000.0,1000000.0,"MaGIC Technology and Product team is looking for a data analyst to help expand and improve data on startups, investors, and founders in the ASEAN region. As part of the data team on our Startup Database product, you will assist in maintaining the accuracy of information on startups and investors, and continuously update our repository with latest publicly available data on the same. The job offers a high degree of autonomy and will also see you playing a leading role in the analysis of the data…",IT Jobs,2019-06-05T21:12:29Z,https://www.adzuna.in/details/1171509680?utm_medium=api&utm_source=3a1fdfd4,"magic technology and product team is looking for a data analyst to help expand and improve data on startups, investors, and founders in the asean region. as part of the data team on our startup database product, you will assist in maintaining the accuracy of information on startups and investors, and continuously update our repository with latest publicly available data on the same. the job offers a high degree of autonomy and will also see you playing a leading role in the analysis of the data…",[],0,
data analyst,Data Analyst,In Touch,"Hyderabad, Telangana",,,"About the Job Join us in transforming the perception of customer service! We are seeking a dedicated Data Analyst to analyze and report on operational data, enhancing program performance visibility. This role is vital in contributing to various projects and performing ad-hoc analyses, providing timely insights that support strategic decision-making. If you are passionate about data and eager to make a significant impact, we invite you to apply! As Data Analyst, You Will… Collect and organize la…",IT Jobs,2026-01-16T00:45:45Z,https://www.adzuna.in/details/5586566169?utm_medium=api&utm_source=3a1fdfd4,"about the job join us in transforming the perception of customer service! we are seeking a dedicated data analyst to analyze and report on operational data, enhancing program performance visibility. this role is vital in contributing to various projects and performing ad-hoc analyses, providing timely insights that support strategic decision-making. if you are passionate about data and eager to make a significant impact, we invite you to apply! as data analyst, you will… collect and organize la…",[],0,
data analyst,Data Analyst,Techwave Consulting India Private,India,,,"Techwave , we are always in an exercise to foster a culture of growth, and inclusivity. We ensure whoever is associated with the brand is being challenged at every step and is provided with all the necessary opportunities to excel in life. People are at the core of everything we do. Who are we? Techwave is a leading global IT and engineering services and solutions company revolutionizing digital transformations. We believe in enabling clients to maximize the potential and achieve a greater mark…",IT Jobs,2026-05-10T02:24:12Z,https://www.adzuna.in/details/5724515432?utm_medium=api&utm_source=3a1fdfd4,"techwave , we are always in an exercise to foster a culture of growth, and inclusivity. we ensure whoever is associated with the brand is being challenged at every step and is provided with all the necessary opportunities to excel in life. people are at the core of everything we do. who are we? techwave is a leading global it and engineering services and solutions company revolutionizing digital transformations. we believe in enabling clients to maximize the potential and achieve a greater mark…","['excel', 'git']",2,"excel, git"
data analyst,Data Analyst,Namaste Credit,"Bangalore, Karnataka",500000.0,1000000.0,"About the Role The following Job Specification is intended to reflect the nature, range and context of the work. It identifies the main requirements of the job but is not an exhaustive list of duties. The Data Analyst role is a vital role as to be a sole point of contact responsible for closely working with various teams internally and closely working with the CTO. This role typically requires the resource to analyse the vast number of datasets and provide a meaningful impact and the result of …",IT Jobs,2020-09-19T01:45:32Z,https://www.adzuna.in/details/1712428599?utm_medium=api&utm_source=3a1fdfd4,"about the role the following job specification is intended to reflect the nature, range and context of the work. it identifies the main requirements of the job but is not an exhaustive list of duties. the data analyst role is a vital role as to be a sole point of contact responsible for closely working with various teams internally and closely working with the cto. this role typically requires the resource to analyse the vast number of datasets and provide a meaningful impact and the result of …",[],0,
data analyst,Data Analyst,NAVVYASA CONSULTING PRIVATE LIMITED,India,,,"About the Role We are looking for a highly skilled Data Analyst or Data Scientist with strong expertise in Python and SQL to join our client’s team. The primary responsibility will be to automate data-driven workflows and processes based on detailed business steps provided by the Product and Business teams. The ideal candidate will bridge the gap between analytics, process understanding, and automation execution. Key Responsibilities ● Collaborate with the Business and Product teams to understa…",IT Jobs,2025-11-20T00:58:08Z,https://www.adzuna.in/details/5503836577?utm_medium=api&utm_source=3a1fdfd4,"about the role we are looking for a highly skilled data analyst or data scientist with strong expertise in python and sql to join our client’s team. the primary responsibility will be to automate data-driven workflows and processes based on detailed business steps provided by the product and business teams. the ideal candidate will bridge the gap between analytics, process understanding, and automation execution. key responsibilities ● collaborate with the business and product teams to understa…","['python', 'sql']",2,"python, sql"
